"abap_program_id","related_abap_program_id","relation_type"
"ac1d573f-6625-4ced-980e-990a52bce5ff","0bbdd689-b031-4a67-a1b3-f9bff7a4b634","Database Tables"
"5620ccac-cad4-4962-a16b-e2c39a9ea4d7","e5099ca1-f003-4941-9ece-72fb84c8174b","Database Tables"
"854d9ea2-ea9f-4ba3-a372-119b8e810f08","SAPLMGMM_SCREEN_0600","CALL SCREEN"
"ac1d573f-6625-4ced-980e-990a52bce5ff","152da97c-2bc0-401f-b452-5441c7ccdc26","Database Tables"
"c586c544-67fb-48d6-80ea-e15b9e4f1476","ff5d2453-2a77-4644-a2e4-7202f9d2b4d1","Function Calls"
"0acfe578-fd50-40db-93a9-dbbe18d994f8","210cbcb7-a1a3-44e5-9c4a-f659d33e5328","Database Tables"
"20d40f6e-a585-4aa5-92be-c6fa83a21fb7","4062ffc1-0116-4979-aca9-f0c8aa942900","Function Calls"
"d88b36a4-5302-448d-8541-5d5fac09eaa3","2c4ea790-3ffb-4c7d-83af-e34377b854df","Function Calls"
"d2568f1c-2620-4676-bde0-bcf01b7f0f86","a01f41e2-5b26-42f0-a37c-209cdf6500d3","Database Tables"
"7042fd7d-1462-4785-9c94-05f63535acf1","a7ec3340-90a7-40c8-aeea-18e03493c811","Includes"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","e083d5bd-90f4-4a77-90d1-93aac982e18a","Includes"
"28f38959-580e-4981-8d7f-1376fcb991f9","fe0eb0e1-8124-4575-af78-581b67c276a1","Database Tables"
"61f4dd9d-4c06-4680-834c-ce086bbc0748","99c7e7f6-bfa3-474e-beb5-aeb7a95f1a7e","Database Tables"
"036d19df-6926-4906-8622-1927c008e53e","971e04c2-47d5-46f1-aa87-10fea9ac94cd","Function Calls"
"6721d3c0-cc2a-4b5a-99e5-8865163c0fd3","a881fc2f-7c52-4bcd-8f4e-775b87a4750d","Includes"
"f0787fc2-420e-4cde-b0a9-f8cbdfe2fca4","77adae96-0a0b-4b61-9a23-6e7359f1b17e","Database Tables"
"c03fd204-b2e3-4fc2-bb92-e94cdd91a5fd","2132a313-ce1e-4a24-9ded-24c235059207","Function Calls"
"6f9a3e39-6075-4a19-9315-7af58cb85ef8","67d5d4ca-d898-4dea-991f-842053d2a472","Function Calls"
"2e7082f9-8c7c-4aea-ba2b-89ea1c41a41b","6649641c-54fe-4d73-9c40-2b6746681708","Database Tables"
"6fca5335-4050-4c94-8b9d-309f13ef45ce","5455e410-570f-4ba1-8ad9-877960fa61a5","Includes"
"c45cccf9-69c2-4b09-93c9-18fe2fe1e5be","83b53e18-7c99-4f8c-a625-12bc9e86fa72","Function Calls"
"d93f2307-df80-4693-8f2d-b8f0ee9f0991","01e7e318-3d71-4781-9e5f-a78f1ec12dcd","Database Tables"
"211238dc-11fd-478e-96df-5928be1c1144","eb397cb0-3610-4713-a2f7-f9307b25ece3","Includes"
"c1cfe101-7e94-4372-9a7c-3a39da24bc0c","b62af995-e71f-44a1-8cfb-3ea89b60510c","Function Calls"
"b7cd8842-c5f7-4f1e-ad3c-843bdc0f8ffc","6318c007-cf84-46ac-b5d7-fb524b6dd838","Database Tables"
"eb397cb0-3610-4713-a2f7-f9307b25ece3","86522837-3818-4a49-92bb-c19516ce5364","Includes"
"61792444-a7b0-4033-a664-2e4e5e1602b5","6722cad6-90d3-4863-b34f-c5f55f452023","Database Tables"
